SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612763,MEM,Memphis Grizzlies,0022500085,2025-10-22,MEM vs. NOP,W,240,41,80,0.513,11,37,0.297,35,43,0.814,6,33,39,20,5,12,17,29,128,6,1
22025,1610612763,MEM,Memphis Grizzlies,0022500094,2025-10-24,MEM vs. MIA,L,240,38,95,0.4,13,45,0.289,25,28,0.893,12,29,41,29,8,4,20,19,114,-32,1
22025,1610612763,MEM,Memphis Grizzlies,0022500103,2025-10-25,MEM vs. IND,W,240,44,97,0.454,15,39,0.385,25,32,0.781,10,39,49,31,6,4,6,22,128,25,1
22025,1610612763,MEM,Memphis Grizzlies,0022500121,2025-10-27,MEM @ GSW,L,240,40,88,0.455,12,39,0.308,26,28,0.929,7,32,39,32,8,3,13,20,118,-13,1
22025,1610612763,MEM,Memphis Grizzlies,0022500137,2025-10-29,MEM @ PHX,W,240,44,93,0.473,15,38,0.395,11,13,0.846,9,32,41,31,12,3,17,17,114,1,1
22025,1610612763,MEM,Memphis Grizzlies,0022500024,2025-10-31,MEM vs. LAL,L,240,41,93,0.441,14,45,0.311,16,19,0.842,13,29,42,28,9,0,11,25,112,-5,1
22025,1610612763,MEM,Memphis Grizzlies,0022500152,2025-11-02,MEM @ TOR,L,240,38,87,0.437,11,35,0.314,17,20,0.85,11,30,41,24,6,0,13,18,104,-13,1
22025,1610612763,MEM,Memphis Grizzlies,0022500161,2025-11-03,MEM vs. DET,L,240,35,87,0.402,14,41,0.341,22,25,0.88,18,31,49,25,8,5,20,22,106,-8,1
22025,1610612763,MEM,Memphis Grizzlies,0022500176,2025-11-05,MEM vs. HOU,L,240,34,89,0.382,13,39,0.333,28,35,0.8,13,34,47,25,10,9,15,19,109,-15,1
22025,1610612763,MEM,Memphis Grizzlies,0022500034,2025-11-07,MEM vs. DAL,W,240,41,85,0.482,13,35,0.371,23,28,0.821,7,35,42,27,8,1,15,20,118,14,1
22025,1610612763,MEM,Memphis Grizzlies,0022500194,2025-11-09,MEM vs. OKC,L,240,35,91,0.385,17,44,0.386,13,18,0.722,11,39,50,30,3,6,14,25,100,-14,1
22025,1610612763,MEM,Memphis Grizzlies,0022500208,2025-11-11,MEM @ NYK,L,240,43,84,0.512,14,38,0.368,20,24,0.833,5,39,44,36,7,3,22,20,120,-13,1
22025,1610612763,MEM,Memphis Grizzlies,0022500216,2025-11-12,MEM @ BOS,L,240,32,95,0.337,10,43,0.233,21,26,0.808,15,26,41,25,8,4,10,18,95,-36,1
