SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612758,SAC,Sacramento Kings,0022500088,2025-10-22,SAC @ PHX,L,240,47,94,0.5,9,24,0.375,13,23,0.565,9,28,37,24,10,10,13,22,116,-4,1
22025,1610612758,SAC,Sacramento Kings,0022500098,2025-10-24,SAC vs. UTA,W,240,40,83,0.482,14,32,0.438,11,15,0.733,5,28,33,23,10,4,13,18,105,1,1
22025,1610612758,SAC,Sacramento Kings,0022500113,2025-10-26,SAC vs. LAL,L,240,45,101,0.446,18,43,0.419,12,18,0.667,13,27,40,27,13,4,16,26,120,-7,1
22025,1610612758,SAC,Sacramento Kings,0022500126,2025-10-28,SAC @ OKC,L,240,36,85,0.424,10,29,0.345,19,21,0.905,9,37,46,21,11,3,17,16,101,-6,1
22025,1610612758,SAC,Sacramento Kings,0022500132,2025-10-29,SAC @ CHI,L,240,43,82,0.524,7,28,0.25,20,26,0.769,5,26,31,28,10,2,10,17,113,-13,1
22025,1610612758,SAC,Sacramento Kings,0022500142,2025-11-01,SAC @ MIL,W,240,45,87,0.517,10,28,0.357,35,40,0.875,11,27,38,30,8,1,10,21,135,2,1
22025,1610612758,SAC,Sacramento Kings,0022500162,2025-11-03,SAC @ DEN,L,240,47,90,0.522,9,27,0.333,21,25,0.84,8,39,47,27,5,1,15,24,124,-6,1
22025,1610612758,SAC,Sacramento Kings,0022500181,2025-11-05,SAC vs. GSW,W,240,41,83,0.494,11,23,0.478,28,33,0.848,8,39,47,27,7,5,16,18,121,5,1
22025,1610612758,SAC,Sacramento Kings,0022500038,2025-11-07,SAC vs. OKC,L,240,38,92,0.413,15,40,0.375,10,15,0.667,8,30,38,27,6,3,17,20,101,-31,1
22025,1610612758,SAC,Sacramento Kings,0022500197,2025-11-09,SAC vs. MIN,L,240,40,90,0.444,13,29,0.448,24,31,0.774,12,31,43,25,8,3,18,20,117,-27,1
22025,1610612758,SAC,Sacramento Kings,0022500212,2025-11-11,SAC vs. DEN,L,240,41,85,0.482,10,33,0.303,16,23,0.696,9,26,35,31,4,3,10,23,108,-14,1
22025,1610612758,SAC,Sacramento Kings,0022500223,2025-11-12,SAC vs. ATL,L,240,36,92,0.391,14,39,0.359,14,18,0.778,9,26,35,22,7,1,20,19,100,-33,1
