SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612757,POR,Portland Trail Blazers,0022500089,2025-10-22,POR vs. MIN,L,240,36,90,0.4,13,42,0.31,29,35,0.829,7,32,39,25,10,3,16,17,114,-4,1
22025,1610612757,POR,Portland Trail Blazers,0022500097,2025-10-24,POR vs. GSW,W,240,50,93,0.538,16,34,0.471,23,25,0.92,10,28,38,30,13,5,19,28,139,20,1
22025,1610612757,POR,Portland Trail Blazers,0022500112,2025-10-26,POR @ LAC,L,240,34,92,0.37,11,41,0.268,28,34,0.824,18,24,42,24,12,2,16,21,107,-7,1
22025,1610612757,POR,Portland Trail Blazers,0022500122,2025-10-27,POR @ LAL,W,240,47,103,0.456,14,43,0.326,14,15,0.933,19,30,49,24,12,9,19,17,122,14,1
22025,1610612757,POR,Portland Trail Blazers,0022500135,2025-10-29,POR @ UTA,W,240,46,96,0.479,21,55,0.382,23,27,0.852,14,25,39,34,14,5,18,33,136,2,1
22025,1610612757,POR,Portland Trail Blazers,0022500026,2025-10-31,POR vs. DEN,W,240,38,91,0.418,11,39,0.282,22,31,0.71,16,27,43,26,11,5,13,24,109,2,1
22025,1610612757,POR,Portland Trail Blazers,0022500163,2025-11-03,POR vs. LAL,L,240,42,85,0.494,9,40,0.225,22,30,0.733,15,23,38,23,13,3,18,18,115,-8,1
22025,1610612757,POR,Portland Trail Blazers,0022500180,2025-11-05,POR vs. OKC,W,240,36,88,0.409,19,43,0.442,30,32,0.938,11,38,49,24,8,6,18,24,121,2,1
22025,1610612757,POR,Portland Trail Blazers,0022500187,2025-11-08,POR @ MIA,L,240,49,109,0.45,14,51,0.275,19,23,0.826,22,35,57,29,8,4,20,32,131,-5,1
22025,1610612757,POR,Portland Trail Blazers,0022500200,2025-11-10,POR @ ORL,L,240,40,90,0.444,13,36,0.361,19,26,0.731,11,27,38,22,5,3,10,24,112,-3,1
22025,1610612757,POR,Portland Trail Blazers,0022500219,2025-11-12,POR @ NOP,W,240,48,83,0.578,13,37,0.351,16,17,0.941,9,30,39,26,5,5,13,22,125,8,1
