SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612766,CHA,Charlotte Hornets,0022500080,2025-10-22,CHA vs. BKN,W,240,48,90,0.533,17,36,0.472,23,33,0.697,14,36,50,33,5,5,17,25,136,19,1
22025,1610612766,CHA,Charlotte Hornets,0022500102,2025-10-25,CHA @ PHI,L,240,43,89,0.483,16,42,0.381,19,28,0.679,13,32,45,30,6,3,17,26,121,-4,1
22025,1610612766,CHA,Charlotte Hornets,0022500109,2025-10-26,CHA @ WAS,W,240,47,92,0.511,15,38,0.395,30,36,0.833,11,41,52,30,12,4,12,16,139,26,1
22025,1610612766,CHA,Charlotte Hornets,0022500124,2025-10-28,CHA @ MIA,L,240,40,90,0.444,18,45,0.4,19,23,0.826,9,32,41,26,9,3,18,18,117,-27,1
22025,1610612766,CHA,Charlotte Hornets,0022500138,2025-10-30,CHA vs. ORL,L,240,42,83,0.506,11,30,0.367,12,15,0.8,12,29,41,24,5,6,21,22,107,-16,1
22025,1610612766,CHA,Charlotte Hornets,0022500143,2025-11-01,CHA vs. MIN,L,240,34,86,0.395,13,45,0.289,24,27,0.889,10,35,45,23,4,4,14,16,105,-17,1
22025,1610612766,CHA,Charlotte Hornets,0022500150,2025-11-02,CHA vs. UTA,W,240,43,88,0.489,18,43,0.419,22,22,1.0,9,37,46,31,6,6,15,25,126,23,1
22025,1610612766,CHA,Charlotte Hornets,0022500168,2025-11-04,CHA @ NOP,L,240,39,82,0.476,13,38,0.342,21,28,0.75,15,34,49,20,8,6,20,23,112,-4,1
22025,1610612766,CHA,Charlotte Hornets,0022500033,2025-11-07,CHA @ MIA,L,240,37,97,0.381,10,39,0.256,24,27,0.889,19,38,57,22,4,9,18,18,108,-18,1
22025,1610612766,CHA,Charlotte Hornets,0022500198,2025-11-10,CHA vs. LAL,L,240,37,71,0.521,17,36,0.472,20,22,0.909,9,28,37,28,6,6,23,25,111,-10,1
22025,1610612766,CHA,Charlotte Hornets,0022500213,2025-11-12,CHA vs. MIL,W,240,38,86,0.442,12,40,0.3,23,27,0.852,15,35,50,27,5,5,16,15,111,11,1
