SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612750,MIN,Minnesota Timberwolves,0022500089,2025-10-22,MIN @ POR,W,240,42,86,0.488,15,30,0.5,19,24,0.792,10,35,45,21,10,10,19,29,118,4,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500019,2025-10-24,MIN @ LAL,L,240,41,88,0.466,13,38,0.342,15,21,0.714,15,25,40,24,4,3,12,27,110,-18,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500110,2025-10-26,MIN vs. IND,W,240,39,84,0.464,10,33,0.303,26,37,0.703,13,35,48,19,9,4,14,24,114,4,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500008,2025-10-27,MIN vs. DEN,L,240,40,85,0.471,10,32,0.313,24,29,0.828,7,26,33,19,8,9,15,22,114,-13,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500136,2025-10-29,MIN vs. LAL,L,240,41,82,0.5,15,30,0.5,18,22,0.818,9,25,34,30,8,5,18,23,115,-1,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500143,2025-11-01,MIN @ CHA,W,240,47,87,0.54,17,36,0.472,11,14,0.786,4,34,38,31,8,2,10,22,122,17,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500156,2025-11-03,MIN @ BKN,W,240,44,78,0.564,14,35,0.4,23,35,0.657,14,39,53,33,6,4,17,26,125,16,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500175,2025-11-05,MIN @ NYK,L,240,40,83,0.482,19,40,0.475,15,17,0.882,9,22,31,30,6,2,17,14,114,-23,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500036,2025-11-07,MIN vs. UTA,W,240,50,88,0.568,17,36,0.472,20,27,0.741,13,39,52,32,10,10,21,23,137,40,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500197,2025-11-09,MIN @ SAC,W,240,52,97,0.536,18,46,0.391,22,24,0.917,9,35,44,28,11,9,11,23,144,27,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500205,2025-11-10,MIN @ UTA,W,240,42,89,0.472,10,33,0.303,26,28,0.929,7,35,42,25,8,5,11,21,120,7,1
